[2013-10-29 21:37:01,019][WARNING] [sistema] [/sad/user/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/user/index/ 
[2013-10-29 21:37:02,137][WARNING] [sistema] [/space/headquart/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/headquart/index/ 
[2013-10-29 21:37:03,309][WARNING] [sistema] [/space/enterprise/edit_current/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/enterprise/edit_current/ 
[2013-10-29 21:37:04,575][WARNING] [sistema] [/sad/resource/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/resource/index/ 
[2013-10-29 21:37:05,131][WARNING] [sistema] [/sad/group/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/group/index/ 
[2013-10-29 21:37:43,348][INFO] [sistema] [/params/locality/edit/6.14225d9647ef8a20fb1a9586d2bbec6a/][asullom][127.0.0.1] Localidad Ñaña2 ha sido actualizado correctamente. 
[2013-10-29 21:37:46,785][INFO] [sistema] [/params/locality/edit/6.14225d9647ef8a20fb1a9586d2bbec6a/][asullom][127.0.0.1] Localidad Ñaña2 ha sido actualizado correctamente. 
[2013-10-29 21:37:49,984][INFO] [sistema] [/params/locality/edit/2.20e95e046cb3db1e69faee9b52d73f31/][asullom][127.0.0.1] Localidad juliaca 2 ha sido actualizado correctamente. 
[2013-10-29 21:37:55,607][WARNING] [sistema] [/sad/menu/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/menu/index/ 
[2013-10-29 21:37:56,476][WARNING] [sistema] [/sad/module/plans_edit/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/module/plans_edit/ 
[2013-10-29 21:39:44,170][WARNING] [sistema] [/][asullom][127.0.0.1] Tu no posees permisos para acceder a // 
[2013-10-29 21:40:32,272][WARNING] [sistema] [/][asullom][127.0.0.1] Tu no posees permisos para acceder a // 
[2013-10-29 21:41:31,421][WARNING] [sistema] [/][asullom][127.0.0.1] Tu no posees permisos para acceder a // 
[2013-10-29 21:41:34,503][WARNING] [sistema] [/][asullom][127.0.0.1] Tu no posees permisos para acceder a // 
[2013-10-29 21:42:04,536][WARNING] [sistema] [/][asullom][127.0.0.1] Tu no posees permisos para acceder a // 
[2013-10-29 21:43:10,938][WARNING] [sistema] [/][asullom][127.0.0.1] Tu no posees permisos para acceder a // 
[2013-10-29 21:43:13,579][WARNING] [sistema] [/][asullom][127.0.0.1] Tu no posees permisos para acceder a // 
[2013-10-29 21:43:33,934][WARNING] [sistema] [/choice_headquart/][asullom][127.0.0.1] Tu no posees permisos para acceder a /choice_headquart/ 
[2013-10-29 21:45:35,592][WARNING] [sistema] [/space/association/edit_current/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/association/edit_current/ 
[2013-10-29 21:45:36,323][WARNING] [sistema] [/space/enterprise/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/enterprise/index/ 
[2013-10-29 21:45:37,016][WARNING] [sistema] [/space/enterprise/edit_current/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/enterprise/edit_current/ 
[2013-10-29 21:45:37,444][WARNING] [sistema] [/space/headquart/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/headquart/index/ 
[2013-10-29 21:49:23,490][WARNING] [sistema] [/][asullom][127.0.0.1] Tu no posees permisos para acceder a // 
[2013-10-29 21:50:04,604][WARNING] [sistema] [/][asullom][127.0.0.1] Tu no posees permisos para acceder a // 
[2013-10-29 21:50:22,424][WARNING] [sistema] [/sad/user/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/user/index/ 
[2013-10-29 21:54:47,842][INFO] [sistema] [/sad/user/edit/1.fd1a5fdbf4737ac1bb4af96ae9217d42/][admin][127.0.0.1] Usuario admin ha sido actualizado correctamente. 
