[2013-10-23 07:16:17,918][ERROR] [sistema] [/space/enterprise/index/][admin][127.0.0.1] 'QuerySet' object has no attribute 'add' 
[2013-10-23 09:11:46,503][ERROR] [sistema] [/space/enterprise/index/][admin][127.0.0.1] string indices must be integers, not str 
[2013-10-23 09:12:00,042][ERROR] [sistema] [/space/enterprise/index/][admin][127.0.0.1] 'str' object is not callable 
[2013-10-23 09:14:45,526][ERROR] [sistema] [/space/enterprise/index/][admin][127.0.0.1] 'bool' object has no attribute '__getitem__' 
[2013-10-23 09:14:46,680][ERROR] [sistema] [/space/enterprise/index/][admin][127.0.0.1] 'bool' object has no attribute '__getitem__' 
[2013-10-23 09:15:33,187][ERROR] [sistema] [/space/enterprise/index/][admin][127.0.0.1] global name 'subq__count_sedes' is not defined 
[2013-10-23 09:17:04,305][ERROR] [sistema] [/space/enterprise/index/][admin][127.0.0.1] 'bool' object has no attribute 'count_sedes' 
[2013-10-23 09:42:30,477][ERROR] [sistema] [/space/enterprise/add/][admin][127.0.0.1] La empresa con RUC 1006812118 ya existe  
[2013-10-23 09:51:37,045][ERROR] [sistema] [/space/enterprise/add/][admin][127.0.0.1] La sede Principal ya existe  
[2013-10-23 09:52:56,345][ERROR] [sistema] [/space/headquart/add/][admin][127.0.0.1] La sede Principal ya existe  
[2013-10-23 09:55:09,552][ERROR] [sistema] [/space/headquart/add/][admin][127.0.0.1] La sede Principal ya existe  
[2013-10-23 09:57:33,937][ERROR] [sistema] [/space/headquart/add/][admin][127.0.0.1] La sede Principal ya existe  
[2013-10-23 09:58:08,305][ERROR] [sistema] [/space/headquart/add/][admin][127.0.0.1] La sede 2 ya existe  
[2013-10-23 09:59:20,556][ERROR] [sistema] [/space/headquart/add/][admin][127.0.0.1] La sede Principal ya existe  
[2013-10-23 09:59:22,980][ERROR] [sistema] [/space/headquart/add/][admin][127.0.0.1] La sede Principal ya existe  
[2013-10-23 10:00:59,256][ERROR] [sistema] [/space/enterprise/add/][admin][127.0.0.1] La sede Principal ya existe  
[2013-10-23 10:01:15,059][ERROR] [sistema] [/space/enterprise/add/][admin][127.0.0.1] La sede Principalw ya existe  
[2013-10-23 10:06:34,683][ERROR] [sistema] [/space/enterprise/add/][admin][127.0.0.1] Empresa Distribuidora ROPAx2 ya existe. 
[2013-10-23 10:30:10,786][ERROR] [sistema] [/space/enterprise/edit/12.754c79089ecdad817315626a689997f0/][admin][127.0.0.1] Empresa Distribuidora ROPAx2p ya existe. 
