[2013-10-30 17:38:02,528][INFO] [sistema] [/space/headquart/delete/25.6a36374f183912c45fd79cd1d2cf31f2/][admin][127.0.0.1] Sede Principal ha sido eliminado correctamente. 
[2013-10-30 17:39:00,451][INFO] [sistema] [/space/headquart/delete/27.a9a615914f374906a40cf3e9a0aaf7e7/][admin][127.0.0.1] Empresa qwe no puede quedar sin ninguna sede. 
[2013-10-30 17:39:00,456][INFO] [sistema] [/space/headquart/delete/27.a9a615914f374906a40cf3e9a0aaf7e7/][admin][127.0.0.1] Sede Principal ha sido eliminado correctamente. 
[2013-10-30 17:40:19,311][INFO] [sistema] [/space/headquart/delete/28.d5afcbfcfd81135214be86d383013fb4/][admin][127.0.0.1] Empresa qwe no puede quedar sin ninguna sede. 
[2013-10-30 17:40:25,476][INFO] [sistema] [/space/headquart/delete/28.d5afcbfcfd81135214be86d383013fb4/][admin][127.0.0.1] Empresa qwe no puede quedar sin ninguna sede. 
[2013-10-30 17:41:51,352][INFO] [sistema] [/space/headquart/delete/28.d5afcbfcfd81135214be86d383013fb4/][admin][127.0.0.1] Empresa qwe no puede quedar sin ninguna sede. 
[2013-10-30 17:41:55,470][INFO] [sistema] [/space/headquart/delete/28.d5afcbfcfd81135214be86d383013fb4/][admin][127.0.0.1] Empresa qwe no puede quedar sin ninguna sede. 
[2013-10-30 17:43:39,032][ERROR] [sistema] [/space/headquart/delete/28.d5afcbfcfd81135214be86d383013fb4/][admin][127.0.0.1] Empresa qwe no puede quedar sin ninguna sede. 
[2013-10-30 17:43:42,881][ERROR] [sistema] [/space/headquart/delete/28.d5afcbfcfd81135214be86d383013fb4/][admin][127.0.0.1] Empresa qwe no puede quedar sin ninguna sede. 
[2013-10-30 17:43:51,670][INFO] [sistema] [/space/headquart/delete/29.e507c6ad82f5bbcf156dc6f5b62ffa8a/][admin][127.0.0.1] Sede sad ha sido eliminado correctamente. 
[2013-10-30 17:43:56,661][ERROR] [sistema] [/space/headquart/delete/28.d5afcbfcfd81135214be86d383013fb4/][admin][127.0.0.1] Empresa qwe no puede quedar sin ninguna sede. 
[2013-10-30 18:44:18,395][ERROR] [sistema] [/space/enterprise/edit/19.26bd84c4d4a91b7a0beb288195db81c8/][admin][127.0.0.1] Empresa no se encuentra en la base de datos. 
[2013-10-30 18:44:46,368][ERROR] [sistema] [/space/enterprise/edit/19.26bd84c4d4a91b7a0beb288195db81c8/][admin][127.0.0.1] Empresa no se encuentra en la base de datos. 
[2013-10-30 18:45:30,019][ERROR] [sistema] [/space/enterprise/edit/19.26bd84c4d4a91b7a0beb288195db81c8/][admin][127.0.0.1] Empresa no se encuentra en la base de datos. 
[2013-10-30 18:45:31,700][ERROR] [sistema] [/space/enterprise/edit/18.d2d8a14b1a8b38b1f6e900e452e0aa64/][admin][127.0.0.1] Empresa no se encuentra en la base de datos. 
[2013-10-30 18:46:31,834][ERROR] [sistema] [/space/enterprise/edit/19.26bd84c4d4a91b7a0beb288195db81c8/][admin][127.0.0.1] Empresa no se encuentra en la base de datos. 
[2013-10-30 18:46:33,516][ERROR] [sistema] [/space/enterprise/edit/18.d2d8a14b1a8b38b1f6e900e452e0aa64/][admin][127.0.0.1] Empresa no se encuentra en la base de datos. 
[2013-10-30 18:47:58,098][ERROR] [sistema] [/space/enterprise/edit/19.26bd84c4d4a91b7a0beb288195db81c8/][admin][127.0.0.1] Empresa no se encuentra en la base de datos. 
[2013-10-30 18:47:59,601][ERROR] [sistema] [/space/enterprise/edit/18.d2d8a14b1a8b38b1f6e900e452e0aa64/][admin][127.0.0.1] Empresa no se encuentra en la base de datos. 
[2013-10-30 18:56:41,167][ERROR] [sistema] [/sad/user/index/][admin][127.0.0.1] Usuario no seleccionado o no se encuentra en la base de datos. 
[2013-10-30 18:56:45,101][ERROR] [sistema] [/sad/user/index/][admin][127.0.0.1] Usuario no seleccionado o no se encuentra en la base de datos. 
[2013-10-30 18:56:46,259][ERROR] [sistema] [/sad/user/index/][admin][127.0.0.1] Usuario no seleccionado o no se encuentra en la base de datos. 
[2013-10-30 18:56:48,147][ERROR] [sistema] [/sad/user/index/][admin][127.0.0.1] Usuario no seleccionado o no se encuentra en la base de datos. 
[2013-10-30 18:56:55,740][ERROR] [sistema] [/sad/user/index/][admin][127.0.0.1] Usuario no seleccionado o no se encuentra en la base de datos. 
[2013-10-30 18:56:56,859][ERROR] [sistema] [/sad/user/index/][admin][127.0.0.1] Usuario no seleccionado o no se encuentra en la base de datos. 
[2013-10-30 18:57:52,424][INFO] [sistema] [/space/enterprise/delete/18.d4587675f9ba30211f1b2f6d5dce37d0/][admin][127.0.0.1] Empresa qwe ha sido eliminado correctamente. 
[2013-10-30 18:58:05,061][ERROR] [sistema] [/space/enterprise/delete/19.82def643e55729746a43b9fe041cbc9f/][admin][127.0.0.1] Asociación qew no puede quedar sin ninguna sede asociada. 
[2013-10-30 18:58:11,319][ERROR] [sistema] [/space/enterprise/delete/19.82def643e55729746a43b9fe041cbc9f/][admin][127.0.0.1] Asociación qew no puede quedar sin ninguna sede asociada. 
[2013-10-30 22:49:26,586][ERROR] [sistema] [/space/enterprise/index/][admin][127.0.0.1] Asociación no seleccionada o no se encuentra en la base de datos. 
[2013-10-30 22:49:27,384][ERROR] [sistema] [/space/association/edit_current/][admin][127.0.0.1] Asociación no seleccionada o no se encuentra en la base de datos. 
[2013-10-30 22:49:29,767][ERROR] [sistema] [/space/association/edit_current/][admin][127.0.0.1] Asociación no seleccionada o no se encuentra en la base de datos. 
[2013-10-30 22:49:30,371][ERROR] [sistema] [/space/enterprise/index/][admin][127.0.0.1] Asociación no seleccionada o no se encuentra en la base de datos. 
[2013-10-30 22:49:31,039][ERROR] [sistema] [/space/enterprise/edit_current/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-30 22:49:31,520][ERROR] [sistema] [/space/headquart/index/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-30 22:49:32,690][ERROR] [sistema] [/sad/user/index/][admin][127.0.0.1] Sede no seleccionado o no se encuentra en la base de datos. 
[2013-10-30 22:49:33,928][ERROR] [sistema] [/sad/user/index/][admin][127.0.0.1] Sede no seleccionado o no se encuentra en la base de datos. 
[2013-10-30 22:49:35,272][ERROR] [sistema] [/space/headquart/index/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-30 22:49:36,315][ERROR] [sistema] [/space/enterprise/edit_current/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-30 22:49:36,842][ERROR] [sistema] [/space/enterprise/index/][admin][127.0.0.1] Asociación no seleccionada o no se encuentra en la base de datos. 
